"station","long","lat","FE","scaled_FE","scaled_FE_layered","round.FE","round.scaled_FE"
"10th & E St NW",-77.026064,38.8959137,0.316632335632665,0.380619061695228,1,0.317,0.381
"10th & K St NW",-77.0262183,38.9024074,0.5038491951255,1.10614122829683,2,0.504,1.106
"10th St & Constitution Ave NW",-77.026013,38.8930277,0.407102189773215,0.731217211701557,1,0.407,0.731
"11th & Girard St NW",-77.0276569,38.9257534,0.436821429573204,0.846388288215988,1,0.437,0.846
"11th & Kenyon St NW",-77.0412231,38.9296928,0.423590866078388,0.795115838084504,1,0.424,0.795
"11th & M St NW",-77.027284,38.9056027,0.846293259542009,2.43321593849319,3,0.846,2.433
"11th & O St NW",-77.0270828,38.9084198,0.544589818683657,1.26402351279133,2,0.545,1.264
"11th & S St NW",-77.0271346,38.9136767,0.412885008594869,0.753627390207469,1,0.413,0.754
"12th & L St NW",-77.0284,38.9038187,0.481778414388542,1.02061025260242,2,0.482,1.021
"13th & H St NE",-76.988255,38.9004369,0.37364988468196,0.601579373884103,1,0.374,0.602
"13th & U St NW",-77.0296368,38.916946,0.526774156808563,1.19498241447318,2,0.527,1.195
"14th & Belmont St NW",-77.0320532,38.9210721,0.610677938239753,1.52013503937529,2,0.611,1.52
"14th & Irving St NW",-77.0327234,38.9284332,0.726241147734692,1.96797755932426,2,0.726,1.968
"14th & L St NW",-77.0550979,38.9037495,0.369003830096581,0.583574501897333,1,0.369,0.584
"14th & Q St NW",-77.0317888,38.9106719,0.568626639799508,1.35717349181261,2,0.569,1.357
"14th & R St NW",-77.0321292,38.9130051,0.941613378867213,2.80261033855357,3,0.942,2.803
"14th & Rhode Island Ave NW",-77.0122664,38.9157442,0.882356571679594,2.57297222127547,3,0.882,2.573
"14th & V St NW",-77.0321098,38.9178227,0.999255964761511,3.0259928582681,4,0.999,3.026
"15th & M St NW",-77.0346763,38.9054318,0.429103322334744,0.816478279572107,1,0.429,0.816
"15th & P St NW",-77.034438,38.9098497,1.24416589418547,3.97509318555309,4,1.244,3.975
"15th & W St NW",-77.0344728,38.9190388,0.884632461830087,2.58179198653275,3,0.885,2.582
"15th St & Constitution Ave NW",-77.0335151,38.8922674,0.555601835661273,1.30669842165316,2,0.556,1.307
"15th St & Pennsylvania Ave NW",-77.0333358,38.8964838,0.440113216125104,0.859144960438746,1,0.44,0.859
"16th & R St NW",-77.0362803,38.9126598,0.35060371583063,0.512268473134144,1,0.351,0.512
"17th & Corcoran St NW",-77.0386672,38.912057,0.854776039683154,2.46608928677753,3,0.855,2.466
"17th & G St NW",-77.0398694,38.8984105,0.435220840249792,0.840185518674252,1,0.435,0.84
"17th & K St NW",-77.038322,38.9020607,0.47301878086131,0.986664013398693,1,0.473,0.987
"17th & K St NW / Farragut Square",-77.038322,38.9020607,0.33941352265254,0.468903077404017,1,0.339,0.469
"17th & P St NW",-77.0385794,38.9098559,0.753150499768614,2.07225946770786,3,0.753,2.072
"17th St & Independence Ave SW",-77.0384038,38.8881307,0.413436556063879,0.75576480409094,1,0.413,0.756
"17th St & Massachusetts Ave NW",-77.0383613,38.9081498,0.595017723494735,1.45944695304572,2,0.595,1.459
"18th & M St NW",-77.0417811,38.9050446,0.39493529716695,0.684066809176807,1,0.395,0.684
"18th & New Hampshire Ave NW",-77.0268338,38.9330318,0.690672619668181,1.83013871502599,2,0.691,1.83
"18th & R St NW",-77.0418363,38.9126558,0.596302239214839,1.46442484141971,2,0.596,1.464
"18th St & Wyoming Ave NW",-77.0415748,38.9187655,0.818802533272202,2.32668102844955,3,0.819,2.327
"1st & K St NE",-77.005649,38.902386,0.535669469946228,1.22945445335751,2,0.536,1.229
"1st & M St NE",-77.0019508,38.905654,1.13966915636604,3.57013660295188,4,1.14,3.57
"1st & M St SE",-77.0060743,38.8769008,0.301798198167199,0.323132275607873,1,0.302,0.323
"1st & Rhode Island Ave NW",-77.0122664,38.9157442,0.576663156314515,1.38831743306712,2,0.577,1.388
"20th & O St NW / Dupont South",-77.04478,38.9089047,0.596839949864558,1.46650863342779,2,0.597,1.467
"20th St & Florida Ave NW",-77.0446,38.9153997,0.542788061653649,1.25704115731522,2,0.543,1.257
"21st & I St NW",-77.0464499,38.9007165,0.535699993164834,1.22957274009597,2,0.536,1.23
"21st St & G st NW",-77.0468972,38.8983129,0.52792912556045,1.19945826901693,2,0.528,1.199
"22nd & I St NW / Foggy Bottom",-77.0489559,38.9008797,0.583646835260301,1.41538130911611,2,0.584,1.415
